artist,title,album,recordLabel,sequence,programTitle,episodeTitle,episodeTimestamp
The Cribs,Men's Needs,CD SINGLE,Wichita,0,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Amy WinehouseThe James Taylor Quartet,Stronger Than Me,,Island,1,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Jill Scott,Gettin' In The Way (M J Cole remix),Gettin' In The Way (Single),Sony Music Distribution,2,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Justice,Waters Of Nazareth,Justice,Because Music,3,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Arctic Monkeys,My Propeller,CD SINGLE,DOMINO,4,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Peaches,Boys Wanna Be Her,,XL Recordings,5,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Florence + the Machine,Dog Days Are Over,CD SINGLE,MOSHI MOSHI RECORDS,6,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
The Coral,In The Morning,,Deltasonic,7,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Eve,Who's That Girl?,,Interscope Records,8,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
OutKast,Ghetto Musick,,Arista,9,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Foals,Cassius,CD SINGLE,Transgressive Records,10,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
BengaCoki,Night,,Ammunition Promotions Ltd,11,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
The B‐15 ProjectCrissy DLady G,Girls Like UsCrissy DLady G,Girls Like Us,Armada Music,12,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Missy Elliott,We Run This,,Atlantic,13,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Daft Punk,Technologic,Human After All,Virgin,14,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
MGMT,Electric Feel,CD SINGLE,Columbia,15,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Kelis,Young Fresh N'New,,Virgin,16,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Wolfmother,Woman,Wolfmother,Universal Music Australia Pty. Ltd.,17,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Andrew W.K.,Party Hard,Andrew W.K. Premium Collection - The Very Best So Far,Universal Music LLC,18,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
The Chemical BrothersQ‐Tip,GalvanizeQ‐Tip,,Virgin,19,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
The Temper Trap,Sweet Disposition,CD SINGLE,Infectious,20,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
The Knife,Heartbeats,,Rabid / V2,21,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Doves,Catch The Sun,,Heavenly,22,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Soulwax,NY Lipps,Nite Versions,Universal Music Australia Pty. Ltd.,23,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Hercules & Love Affair,Blind,Hercules And Love Affair,EMI,24,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Deftones,Minerva,Deftones,Maverick,25,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Skream,Midnight Request Line,Skream! (Expanded Edition),Tempa,26,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
Pinch,Qawwali,10 Tons Heavy,Planet Mu,27,Nick Grimshaw,6 Music's 00s Forever with Nick Grimshaw,2026-01-23T07:00:00+00:00
